2020-02-29 22:42:00,1582983720,976904,977162,976380,977128,30.79742223
2020-02-29 22:41:00,1582983660,976477,977234,976441,976904,35.26034219
2020-02-29 22:40:00,1582983600,976721,977303,976250,976412,77.07369823
2020-02-29 22:39:00,1582983540,975863,977003,975761,976721,41.55207796
2020-02-29 22:38:00,1582983480,975677,976000,975310,975878,37.26468656
2020-02-29 22:37:00,1582983420,975018,975987,974782,975647,71.63654261
2020-02-29 22:36:00,1582983360,976173,976289,974646,975095,57.32459088
2020-02-29 22:35:00,1582983300,976334,976932,975970,976184,72.11114873
2020-02-29 22:34:00,1582983240,977561,977649,976345,976345,46.37025623
2020-02-29 22:33:00,1582983180,976777,977930,976686,977561,67.90303329
2020-02-29 22:32:00,1582983120,977349,977450,976127,976866,76.26371475
2020-02-29 22:31:00,1582983060,975292,977390,975243,977353,65.60392659
2020-02-29 22:30:00,1582983000,975818,976075,974887,975243,85.19801877
2020-02-29 22:29:00,1582982940,974947,976334,974546,975818,114.09312481
2020-02-29 22:28:00,1582982880,976003,976199,974022,974947,150.3939938
2020-02-29 22:27:00,1582982820,976684,976917,975811,975953,42.50060801
2020-02-29 22:26:00,1582982760,976190,977555,976165,976537,145.44321648
2020-02-29 22:25:00,1582982700,976558,976621,975960,976190,41.26722215
2020-02-29 22:24:00,1582982640,976901,977186,975465,976497,184.59755869
2020-02-29 22:23:00,1582982580,977658,977788,976810,976901,26.72469784
2020-02-29 22:22:00,1582982520,978091,978369,977383,977673,30.79414164
2020-02-29 22:21:00,1582982460,978903,978976,977378,977969,98.53200896
2020-02-29 22:20:00,1582982400,979892,980074,978903,978903,56.8189906
2020-02-29 22:19:00,1582982340,980009,980205,979516,979892,68.57264767
2020-02-29 22:18:00,1582982280,979234,980329,978930,980009,69.60927976
2020-02-29 22:17:00,1582982220,977928,979486,977327,979247,93.8948434
2020-02-29 22:16:00,1582982160,978821,979082,977408,977944,51.98467626
2020-02-29 22:15:00,1582982100,978801,979169,978585,978821,52.57065557
2020-02-29 22:14:00,1582982040,978194,978887,977888,978801,51.6034512
