time,open,high,low,close,volume
2016-01-01 00:00:00,50970.0,50970.0,50900.0,50900.0,7.52513571
2016-01-01 01:00:00,50832.0,51700.0,50832.0,51700.0,53.485000000000014
2016-01-01 02:00:00,51700.0,51773.0,51606.0,51680.0,18.1438
2016-01-01 03:00:00,51530.0,51640.0,51530.0,51640.0,5.8
2016-01-01 04:00:00,51676.0,51685.0,51676.0,51685.0,1.8
2016-01-01 05:00:00,51716.0,51770.0,51694.0,51768.0,8.90569416
2016-01-01 06:00:00,51768.0,51900.0,51768.0,51840.0,10.663305840000001
2016-01-01 07:00:00,51840.0,52200.0,51803.0,52120.0,34.705999999999996
2016-01-01 08:00:00,51729.0,51788.0,51729.0,51788.0,2.0
2016-01-01 09:00:00,51810.0,51920.0,51751.0,51751.0,13.517999880000001
2016-01-01 10:00:00,51680.0,51680.0,51611.0,51611.0,1.5
2016-01-01 11:00:00,51700.0,51750.0,51700.0,51729.0,6.13291543
2016-01-01 12:00:00,51714.0,52070.0,51714.0,52032.0,33.28722224
2016-01-01 13:00:00,51999.0,52500.0,51980.0,52420.0,58.68267709999999
2016-01-01 14:00:00,52330.0,52395.0,52260.0,52260.0,8.5
2016-01-01 15:00:00,52230.0,52250.0,51791.0,51840.0,65.4214002
2016-01-01 16:00:00,52030.0,52352.0,52030.0,52170.0,20.9575019
2016-01-01 17:00:00,52050.0,52210.0,51870.0,52210.0,13.403999609999998
2016-01-01 18:00:00,52279.0,52359.0,51979.0,51979.0,6.071
2016-01-01 19:00:00,52007.0,52010.0,51740.0,51741.0,22.397999839999994
2016-01-01 20:00:00,51730.0,52051.0,51730.0,52040.0,14.825800000000001
2016-01-01 21:00:00,52040.0,52086.0,51835.0,51835.0,4.861747810000001
2016-01-01 22:00:00,51888.0,51888.0,51493.0,51493.0,21.8390004
2016-01-01 23:00:00,51493.0,52000.0,51493.0,51920.0,41.585699999999996
2016-01-02 00:00:00,51900.0,52207.0,51900.0,52080.0,57.5830003
2016-01-02 01:00:00,52089.0,52200.0,52089.0,52150.0,74.31793930999999
2016-01-02 02:00:00,52170.0,52230.0,52163.0,52228.0,10.806060689999999
2016-01-02 03:00:00,52252.0,52290.0,52230.0,52230.0,2.8129999999999997
2016-01-02 04:00:00,52231.0,52268.0,52214.0,52260.0,8.055
2016-01-02 05:00:00,52268.0,52322.0,52220.0,52279.0,16.53816691
2016-01-02 06:00:00,52263.0,52400.0,52233.0,52317.0,25.754000100000006
2016-01-02 07:00:00,52260.0,52400.0,51819.0,51870.0,51.02000000000002
2016-01-02 08:00:00,51910.0,52198.0,51910.0,52198.0,13.466
2016-01-02 09:00:00,52198.0,52391.0,52198.0,52330.0,28.116982380000003
2016-01-02 10:00:00,52300.0,52350.0,51918.0,52045.0,33.060275450000006
2016-01-02 11:00:00,52110.0,52180.0,52050.0,52050.0,60.188
2016-01-02 12:00:00,51999.0,52180.0,51980.0,52180.0,9.033
2016-01-02 13:00:00,52079.0,52290.0,52079.0,52220.0,14.791271709999998
2016-01-02 14:00:00,52220.0,52250.0,52195.0,52195.0,16.56
2016-01-02 15:00:00,52125.0,52125.0,52125.0,52125.0,0.9
2016-01-02 16:00:00,52190.0,52190.0,52030.0,52068.0,16.48728516
2016-01-02 17:00:00,52072.0,52129.0,52060.0,52072.0,9.022
2016-01-02 18:00:00,52099.0,52200.0,52099.0,52200.0,14.00532956
2016-01-02 19:00:00,52200.0,52300.0,52110.0,52110.0,17.592842970000007
2016-01-02 20:00:00,52120.0,52215.0,51950.0,51950.0,38.892939780000006
2016-01-02 21:00:00,51950.0,52080.0,51950.0,51986.0,41.081
2016-01-02 22:00:00,51998.0,52020.0,51998.0,52020.0,3.27843246
2016-01-02 23:00:00,52046.0,52110.0,51950.0,51987.0,50.91884298999999
2016-01-03 00:00:00,52018.0,52052.0,52018.0,52040.0,3.001
2016-01-03 01:00:00,52080.0,52170.0,52080.0,52140.0,16.62331796
2016-01-03 02:00:00,52100.0,52500.0,52090.0,52410.0,79.67241936999999
2016-01-03 03:00:00,52286.0,52291.0,52226.0,52226.0,13.05100532
2016-01-03 04:00:00,52225.0,52240.0,52100.0,52165.0,13.2
2016-01-03 06:00:00,52195.0,52390.0,52146.0,52322.0,41.653
2016-01-03 07:00:00,52170.0,52262.0,52135.0,52227.0,13.152004999999999
2016-01-03 08:00:00,52220.0,52220.0,52110.0,52148.0,10.47125411
2016-01-03 09:00:00,52180.0,52190.0,52090.0,52090.0,13.07470031
2016-01-03 10:00:00,52090.0,52110.0,51710.0,51984.0,97.53744750000001
2016-01-03 11:00:00,51909.0,51981.0,51310.0,51688.0,46.49926147
2016-01-03 12:00:00,51874.0,51929.0,51796.0,51929.0,7.35358498
2016-01-03 13:00:00,51921.0,51921.0,51800.0,51800.0,42.113815020000004
2016-01-03 14:00:00,51806.0,51910.0,51806.0,51865.0,7.3216997
2016-01-03 15:00:00,51866.0,51870.0,51737.0,51870.0,9.412
2016-01-03 16:00:00,51850.0,51920.0,51760.0,51804.0,11.520000000000001
2016-01-03 17:00:00,51793.0,51793.0,51782.0,51782.0,0.7893
2016-01-03 18:00:00,51873.0,51907.0,51820.0,51820.0,27.201
2016-01-03 19:00:00,51808.0,51808.0,51760.0,51760.0,3.0
2016-01-03 20:00:00,51731.0,51840.0,51676.0,51702.0,25.76296435
2016-01-03 21:00:00,51717.0,51780.0,51670.0,51780.0,29.592
2016-01-03 22:00:00,51720.0,51720.0,51370.0,51463.0,54.07963608
2016-01-03 23:00:00,51455.0,51556.0,51121.0,51121.0,58.409999729999996
2016-01-04 00:00:00,51100.0,51440.0,51040.0,51440.0,21.65003899
2016-01-04 01:00:00,51410.0,51440.0,50850.0,51175.0,64.63400076000002
2016-01-04 02:00:00,51335.0,51350.0,51231.0,51231.0,8.079960799999998
2016-01-04 04:00:00,51091.0,51240.0,51010.0,51240.0,17.76648734
2016-01-04 05:00:00,51073.0,51090.0,50900.0,51090.0,23.736000110000003
2016-01-04 06:00:00,51300.0,51588.0,51300.0,51380.0,136.86499999999998
2016-01-04 07:00:00,51460.0,51620.0,51460.0,51620.0,31.82257726
2016-01-04 08:00:00,51620.0,51776.0,51614.0,51614.0,17.57895222
2016-01-04 09:00:00,51713.0,51730.0,51640.0,51645.0,32.63576711
2016-01-04 10:00:00,51610.0,51635.0,51550.0,51635.0,9.46193444
2016-01-04 11:00:00,51600.0,51675.0,51504.0,51674.0,3.219
2016-01-04 12:00:00,51814.0,51814.0,51680.0,51750.0,2.55700043
2016-01-04 14:00:00,51521.0,51660.0,51461.0,51558.0,22.32000021
2016-01-04 15:00:00,51522.0,51567.0,51407.0,51407.0,12.722
2016-01-04 16:00:00,51402.0,51490.0,51290.0,51490.0,23.763483950000005
2016-01-04 17:00:00,51500.0,51650.0,51477.0,51520.0,54.67801635
2016-01-04 18:00:00,51520.0,51520.0,51190.0,51296.0,25.237
2016-01-04 19:00:00,51298.0,51520.0,51020.0,51388.0,86.0674739
2016-01-04 21:00:00,51533.0,51610.0,51520.0,51522.0,9.1365261
2016-01-04 22:00:00,51435.0,51435.0,51405.0,51411.0,4.961
2016-01-04 23:00:00,51444.0,51570.0,51427.0,51552.0,21.865585730000003
2016-01-05 00:00:00,51552.0,51850.0,51470.0,51840.0,43.68212970000001
2016-01-05 01:00:00,51720.0,51794.0,51634.0,51791.0,16.347
2016-01-05 02:00:00,51850.0,51850.0,51850.0,51850.0,3.63442241
2016-01-05 03:00:00,51770.0,51781.0,51770.0,51781.0,2.035
2016-01-05 04:00:00,51710.0,51710.0,51690.0,51690.0,5.053
2016-01-05 05:00:00,51760.0,51930.0,51760.0,51890.0,36.112953039999994
2016-01-05 06:00:00,51896.0,51980.0,51690.0,51980.0,21.187999939999997
2016-01-05 07:00:00,51897.0,51939.0,51780.0,51849.0,29.028999119999998
2016-01-05 08:00:00,51760.0,51780.0,51760.0,51760.0,1.56
2016-01-05 09:00:00,51770.0,51930.0,51710.0,51930.0,28.41368561
2016-01-05 10:00:00,51878.0,51920.0,51860.0,51920.0,9.0139
2016-01-05 11:00:00,51899.0,51899.0,51772.0,51772.0,9.366099700000001
2016-01-05 12:00:00,51790.0,51819.0,51656.0,51656.0,42.27258560999999
2016-01-05 13:00:00,51917.0,52024.0,51881.0,52024.0,59.32143756
2016-01-05 15:00:00,51787.0,51789.0,51776.0,51776.0,2.66
2016-01-05 16:00:00,51775.0,51775.0,51585.0,51600.0,24.681000000000004
2016-01-05 17:00:00,51610.0,51647.0,51610.0,51610.0,5.83165868
